"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.01270902646993e-277,1.47966155717744,0.332,0.137,1.20508361058797e-273,"8","CXCR6"
4.42538488332451e-277,1.23434449959498,0.554,0.34,1.7701539533298e-273,"8","PIM1"
5.72689754174396e-273,1.07548260703038,0.644,0.44,2.29075901669758e-269,"8","DYNLL1"
1.1031574092015e-262,0.722981546638066,0.74,0.507,4.412629636806e-259,"8","PRF1"
1.53667360263799e-256,1.47273056090077,0.398,0.195,6.14669441055195e-253,"8","JAML"
1.68000535175588e-252,1.33885701157259,0.428,0.217,6.72002140702351e-249,"8","PTGER2"
2.05102364602294e-222,1.54398486418683,0.334,0.158,8.20409458409176e-219,"8","CTSB"
1.59256884106835e-218,1.03521004254143,0.62,0.454,6.37027536427341e-215,"8","PRDX1"
3.23739387144916e-215,0.460672418801558,0.68,0.403,1.29495754857966e-211,"8","GZMB"
4.00826624741093e-212,1.04508733333905,0.58,0.398,1.60330649896437e-208,"8","CD63"
1.08865699577906e-210,0.590492173874892,0.884,0.787,4.35462798311622e-207,"8","IFITM2"
1.14188659722964e-210,1.29797430040009,0.472,0.286,4.56754638891855e-207,"8","PTPN7"
